episode_index,environment_steps,optimizer_step_calls_at_observation,sb3_update_counter_at_observation,record_phase,episode_metrics.aux_shift_kwh,episode_metrics.bess_throughput_kwh,episode_metrics.carbon_delta_kg,episode_metrics.carbon_kg,episode_metrics.degradation_cost_cny,episode_metrics.demand_charge_cny,episode_metrics.energy_cost_cny,episode_metrics.financial_delta_cny,episode_metrics.flex_deadline_violation_kwh,episode_metrics.guardrail_violation_rate,episode_metrics.guardrail_violations,episode_metrics.max_flex_age_hours,episode_metrics.nonzero_bess_action_rate,episode_metrics.nonzero_bess_actions,episode_metrics.nonzero_flex_action_rate,episode_metrics.nonzero_flex_actions,episode_metrics.peak_kw,episode_metrics.physical_power_violations,episode_metrics.projection_count,episode_metrics.projection_rate,episode_metrics.reserve_shortfall_kwh,episode_metrics.reward,episode_metrics.shore_sla_violation_kwh,episode_metrics.soc_max_observed,episode_metrics.soc_min_observed,episode_metrics.temperature_max_c,episode_metrics.terminal_flex_backlog_kwh,episode_metrics.terminal_soc_error,episode_metrics.total_cost_cny,episode_metrics.training_reward
22,3696,3390,1695,after_environment_step_before_replay_storage_and_optimizer,19289.126313391556,17680.858807071836,339.77173431440133,2217296.0358795063,1414.4687045657402,228769.4302195292,2802348.4797513536,2537.964095769315,0.0,0.0,0.0,12.0,1.0,168.0,0.8630952380952381,145.0,26177.329068823008,0.0,0.0,0.0,0.0,-0.7666251056240685,0.0,0.58,0.40333862973783446,32.0,0.0,0.0,3032532.3786754487,-39.87155922399868
23,3864,3726,1863,after_environment_step_before_replay_storage_and_optimizer,15771.452346278682,16179.7164768363,602.0970526351357,2061256.7535144784,1294.3773181468957,210060.2854845023,2600647.199410819,-1975.2290855460324,0.0,0.0,0.0,12.0,0.9464285714285714,159.0,0.7678571428571429,129.0,24036.503531708793,0.0,1.0,0.005952380952380952,0.0,-0.23390255419623823,0.0,0.58,0.4183375539366907,24.427844076156617,0.0,0.0,2812001.862213468,-38.29161878308073
24,4032,4062,2031,after_environment_step_before_replay_storage_and_optimizer,16854.348350328957,16667.853557076243,524.6225124813172,2122164.0180330556,1333.4282845660916,218218.36431704182,2679519.5088294633,-178.36536875608675,0.0,0.0,0.0,12.0,0.9761904761904762,164.0,0.8571428571428571,144.0,24970.00550338331,0.0,0.0,0.0,0.0,-0.3197144793091667,0.0,0.58,0.4150917937141701,26.66734700679779,0.0,0.0,2899071.301431071,-41.077974154724885
25,4200,4398,2199,after_environment_step_before_replay_storage_and_optimizer,14361.782037495914,16817.15223475214,501.3422832314209,2161294.692819079,1345.3721787801637,221215.0239336522,2728881.4628820247,-471.11914107208423,0.0,0.0,0.0,12.0,0.9761904761904762,164.0,0.8214285714285714,138.0,25312.9033495509,0.0,0.0,0.0,0.0,-0.48466990194668297,0.0,0.58,0.4156736132712592,24.42287450313568,0.0,0.0,2951441.8589944574,-37.75178695315324
26,4368,4734,2367,after_environment_step_before_replay_storage_and_optimizer,13203.81721952903,16759.40901839058,519.7596644440728,2110534.7693158337,1340.7527214712384,213647.92241699042,2662985.130642701,-329.50811607537656,0.0,0.0,0.0,12.0,0.9821428571428571,165.0,0.7619047619047619,128.0,24447.024957019345,0.0,1.0,0.005952380952380952,0.0,-0.3158332207631005,0.0,0.58,0.41361406196629935,24.419305830001832,0.0,0.0,2877973.805781163,-39.93323257514897
27,4536,5070,2535,after_environment_step_before_replay_storage_and_optimizer,11975.206418406047,16935.753870082866,467.4756005811123,2152562.965255366,1354.8603096066217,221233.38122389285,2719746.8264976516,1954.0993912431165,0.0,0.0,0.0,12.0,0.9880952380952381,166.0,0.7440476190476191,125.0,25315.00391354225,0.0,1.0,0.005952380952380952,0.0,-0.47198253859336775,0.0,0.58,0.41096170460286713,24.389734855180745,0.0,0.0,2942335.068031151,-47.168545002704526
28,4704,5406,2703,after_environment_step_before_replay_storage_and_optimizer,10832.162559615601,16509.078244426943,553.9318265351721,2069817.7883288614,1320.7262595541476,211554.66834725105,2614877.813830568,810.6218652353145,0.0,0.0,0.0,12.0,0.9761904761904762,164.0,0.6547619047619048,110.0,24207.500818870125,0.0,1.0,0.005952380952380952,0.0,-0.3525818215539206,0.0,0.58,0.4159317257264682,30.700000762939453,0.0,0.0,2827753.2084373734,-48.36765544899033
29,4872,5742,2871,after_environment_step_before_replay_storage_and_optimizer,7967.979377648205,17612.890111284545,591.6697525336222,2107051.797614367,1409.0312089027566,214777.4126785047,2660222.5575646213,1333.9275064342298,0.0,0.0,0.0,12.0,1.0,168.0,0.5238095238095238,88.0,24576.268790984912,0.0,0.0,0.0,0.0,-0.3688621395627979,0.0,0.58,0.40401775076152097,25.19457668137912,0.0,0.0,2876409.0014520288,-54.00321773486089
30,5040,6078,3039,after_environment_step_before_replay_storage_and_optimizer,2948.4753935161907,17663.982489430502,543.0865910369139,2068563.64081181,1413.1185991544346,211352.06346137295,2613764.053595947,1557.6887177475041,0.0,0.0,0.0,12.0,0.9821428571428571,165.0,0.30952380952380953,52.0,24184.3174120509,0.0,1.0,0.005952380952380952,0.0,-0.4022912125863731,0.0,0.58,0.4214310330937761,25.662440733909605,0.0,0.0,2826529.2356564747,-51.23537087169063
31,5208,6414,3207,after_environment_step_before_replay_storage_and_optimizer,530.7375301239083,17242.07662221066,596.044469608838,2136740.838877414,1379.3661297768458,220615.43153118814,2698498.942747015,1170.057260092102,0.0,0.0,0.0,12.0,1.0,168.0,0.13095238095238096,22.0,25244.2939745509,0.0,1.0,0.005952380952380952,0.0,-0.4596564646121742,0.0,0.58,0.4077227981128003,32.27012599299869,0.0,0.0,2920493.74040798,-53.53384386916751
32,5376,6750,3375,after_environment_step_before_replay_storage_and_optimizer,233.43066528508982,16335.622386806657,447.3380849831847,2060366.888638149,1306.849790944524,210189.25582194643,2603053.792164937,1184.7360056772789,0.0,0.0,0.0,12.0,1.0,168.0,0.16071428571428573,27.0,24051.261180753736,0.0,0.0,0.0,0.0,-0.34756415632755044,0.0,0.58,0.4167797929711251,27.899999618530273,0.0,0.0,2814549.8977778284,-41.710726827041135
33,5544,7086,3543,after_environment_step_before_replay_storage_and_optimizer,796.2793335249776,16044.147126407159,448.5009667860486,2069405.8768487673,1283.5317701125646,210179.65958560293,2613664.485299879,835.879196477591,0.0,0.0,0.0,12.0,1.0,168.0,0.09523809523809523,16.0,24050.1631151759,0.0,0.0,0.0,0.0,-0.3235987633092486,0.0,0.58,0.4196921186370651,27.799999237060547,0.0,0.0,2825127.6766555947,-40.059473325271824
34,5712,7422,3711,after_environment_step_before_replay_storage_and_optimizer,198.19734087688295,15725.797493575117,391.8016949508492,2132929.4286439996,1258.0637994860006,217874.9692621943,2694572.8581293947,1679.9343452499606,0.0,0.0,0.0,12.0,0.9761904761904762,164.0,0.08333333333333333,14.0,24930.7119433009,0.0,0.0,0.0,0.0,-0.43341598721631625,0.0,0.58,0.42400053550626976,32.0,0.0,0.0,2913705.891191075,-39.74380732231772
35,5880,7758,3879,after_environment_step_before_replay_storage_and_optimizer,159.95448034020797,15085.924812478443,436.07407610518567,2055649.678918638,1206.8739849982662,211716.07244494584,2596697.550003604,1420.488499825749,0.0,0.0,0.0,12.0,0.9523809523809523,160.0,0.06547619047619048,11.0,24225.9697558009,0.0,0.0,0.0,0.0,-0.34260164677835464,0.0,0.58,0.42926636323918366,32.0,0.0,0.0,2809620.496433548,-41.98836858754357
36,6048,8094,4047,after_environment_step_before_replay_storage_and_optimizer,1176.6763283566104,24119.749207277655,830.7124098431268,2148265.4677641443,1929.5799365822138,223702.20330597422,2711245.1853596484,1010.2257271968285,0.0,0.0,0.0,12.0,0.9761904761904762,164.0,0.20238095238095238,34.0,25597.503056863123,0.0,0.0,0.0,0.0,-0.2427529006858376,0.0,0.7402999280123049,0.49930326649079676,24.33278923931434,0.0,0.0,2936876.9686022047,-71.50812142343428
37,6216,8430,4215,after_environment_step_before_replay_storage_and_optimizer,696.6116067092493,17022.06489923864,504.2184332828274,2096875.4136562445,1361.7651919390835,215653.15920059267,2649820.4106782842,2139.518448295987,0.0,0.0,0.0,12.0,1.0,168.0,0.1488095238095238,25.0,24676.4775683009,0.0,0.0,0.0,0.0,-0.4373524981283692,0.0,0.58,0.40992108343808287,24.476030812621325,0.0,0.0,2866835.335070816,-51.03506690410611
38,6384,8766,4383,after_environment_step_before_replay_storage_and_optimizer,404.2163759342326,15246.972228224806,384.53488961372204,2080633.711336279,1219.7577782579756,213766.8873833442,2627470.5880505256,1297.186118286456,0.0,0.0,0.0,12.0,0.9821428571428571,165.0,0.17261904761904762,29.0,24460.6377245509,0.0,1.0,0.005952380952380952,0.0,-0.3410775603973115,0.0,0.58,0.4276572300260644,29.299999237060547,0.0,0.0,2842457.233212128,-37.248721760529996
39,6552,9102,4551,after_environment_step_before_replay_storage_and_optimizer,4177.001655181021,24196.770742539713,752.3299827252358,2150964.647613549,1935.741659403179,219825.9527396601,2717000.7542314366,781.47662059871,0.0,0.0,0.0,12.0,0.9702380952380952,163.0,0.4642857142857143,78.0,25153.956528245883,0.0,0.0,0.0,0.0,-0.4887390518777977,0.0,0.74225303251136,0.5004867969489318,24.35863681551385,0.0,0.0,2938762.4486305,-64.09378172101242
40,6720,9438,4719,after_environment_step_before_replay_storage_and_optimizer,6615.5528644268,26606.51194253969,694.5900018913853,2082349.8482320704,2128.5209554031776,214087.94250513348,2630978.670880898,2056.6114944134547,0.0,0.0,0.0,12.0,0.9464285714285714,159.0,0.5476190476190477,92.0,24497.375,0.0,1.0,0.005952380952380952,0.0,-0.6208558869208434,0.0,0.737838182222776,0.4981991351983514,24.38292110484154,0.0,0.0,2847195.1343414346,-65.85025762337811
41,6888,9774,4887,after_environment_step_before_replay_storage_and_optimizer,1693.865347685298,16892.62106571461,472.683847098353,2176800.905064616,1351.4096852571613,223345.70599462368,2751996.801142641,3238.4569552654943,0.0,0.0,0.0,12.0,0.9940476190476191,167.0,0.20238095238095238,34.0,25556.710248914882,0.0,1.0,0.005952380952380952,0.0,-0.5486222090040364,0.0,0.58,0.41121444397287743,24.36197821150697,0.0,0.0,2976693.916822522,-54.006992544195654
42,7056,10110,5055,after_environment_step_before_replay_storage_and_optimizer,1604.1516974805484,16166.43466983221,328.1594137525608,2214061.4077472696,1293.3147735865687,228925.9891896966,2796255.0137065556,2545.715276145627,0.0,0.0,0.0,12.0,0.9821428571428571,165.0,0.2916666666666667,49.0,26195.243593839812,0.0,1.0,0.005952380952380952,0.0,-0.5336833237073492,0.0,0.58,0.41847026141716454,30.5,0.0,0.0,3026474.3176698387,-38.98132948093299
43,7224,10446,5223,after_environment_step_before_replay_storage_and_optimizer,5064.174184054239,24141.99832112415,661.8085193855532,2246808.4202602133,1931.3598656899328,231383.3489952667,2837130.641051302,2388.6711292128357,0.0,0.0,0.0,12.0,0.9642857142857143,162.0,0.4880952380952381,82.0,26476.43114677981,0.0,1.0,0.005952380952380952,0.0,-0.5036617836149396,0.0,0.6761272401769722,0.4349082727719025,32.0,0.0,0.0,3070445.349912259,-64.88803719690843
44,7392,10782,5391,after_environment_step_before_replay_storage_and_optimizer,7590.5267419814,36682.01699467885,1131.3475768154567,2100361.1041754596,2934.5613595743075,221270.59990901154,2653242.277142467,3709.5860373394808,0.0,0.0,0.0,12.0,0.9285714285714286,156.0,0.5595238095238095,94.0,25319.2627245509,0.0,0.0,0.0,0.0,-0.9208376244907229,0.0,0.6914271233701564,0.46191266584615376,24.67187146171233,0.0,0.0,2877447.438411053,-109.05573633193399
45,7560,11118,5559,after_environment_step_before_replay_storage_and_optimizer,13359.775170949628,39560.89324411031,922.6434013462931,2061054.9080693834,3164.871459528825,213087.3947654842,2607108.4458276792,7626.272613565038,0.0,0.0,0.0,12.0,0.9464285714285714,159.0,0.8095238095238095,136.0,24382.885632234684,0.0,0.0,0.0,0.0,-1.0951563609565151,0.0,0.7451116799601738,0.4711894867272572,31.200000762939453,0.0,0.0,2823360.712052692,-111.94283517552867
46,7728,11454,5727,after_environment_step_before_replay_storage_and_optimizer,4754.421158774988,28661.85709213164,830.9482227156514,2099494.0014198897,2292.9485673705326,214751.73941106495,2653793.2813425264,3794.9105632060473,0.0,0.0,0.0,12.0,0.9761904761904762,164.0,0.44047619047619047,74.0,24573.3310839259,0.0,1.0,0.005952380952380952,0.0,-0.7637821001792481,0.0,0.6857434501711694,0.43154066903369925,25.05377595845718,0.0,0.0,2870837.9693209617,-85.45041063328254
47,7896,11790,5895,after_environment_step_before_replay_storage_and_optimizer,17806.977139650455,20705.397183575835,281.88619630012,2068893.1727264202,1656.4317746860697,215541.42143272382,2615494.3654750166,3770.7667531709344,0.0,0.0,0.0,12.0,1.0,168.0,0.7976190476190477,134.0,24663.691785182447,0.0,0.0,0.0,0.0,-0.5426665174194601,0.0,0.7405501476419114,0.5336685771149257,24.31493620157242,0.0,0.0,2832692.2186824265,-41.404729469864364
48,8064,12126,6063,after_environment_step_before_replay_storage_and_optimizer,16240.612215479785,20654.747962921898,323.92156131029515,2065414.050100038,1652.3798370337554,210940.78675103976,2610560.1428659814,3467.2304813557575,0.0,0.0,0.0,12.0,0.9880952380952381,166.0,0.7916666666666666,133.0,24137.25637870215,0.0,1.0,0.005952380952380952,0.0,-0.5269001304390523,0.0,0.7392827573934334,0.5329072573475859,24.300130956172943,0.0,0.0,2823153.309454055,-43.2498773116025
49,8232,12462,6231,after_environment_step_before_replay_storage_and_optimizer,17002.123725919228,19813.40869609185,448.5549728012011,2028869.9155993774,1585.0726956873525,208431.26314868362,2562987.558474655,473.72036095045985,0.0,0.0,0.0,12.0,0.9940476190476191,167.0,0.8690476190476191,146.0,23850.099895067888,0.0,1.0,0.005952380952380952,0.0,-0.4038680537192738,0.0,0.7442064111356396,0.5462372984353048,24.076384596824646,0.0,0.0,2773003.894319026,-38.25299962884844
