episode_index,environment_steps,optimizer_step_calls_at_observation,sb3_update_counter_at_observation,record_phase,episode_metrics.aux_shift_kwh,episode_metrics.bess_throughput_kwh,episode_metrics.carbon_delta_kg,episode_metrics.carbon_kg,episode_metrics.degradation_cost_cny,episode_metrics.demand_charge_cny,episode_metrics.energy_cost_cny,episode_metrics.financial_delta_cny,episode_metrics.flex_deadline_violation_kwh,episode_metrics.guardrail_violation_rate,episode_metrics.guardrail_violations,episode_metrics.max_flex_age_hours,episode_metrics.nonzero_bess_action_rate,episode_metrics.nonzero_bess_actions,episode_metrics.nonzero_flex_action_rate,episode_metrics.nonzero_flex_actions,episode_metrics.peak_kw,episode_metrics.physical_power_violations,episode_metrics.projection_count,episode_metrics.projection_rate,episode_metrics.reserve_shortfall_kwh,episode_metrics.reward,episode_metrics.shore_sla_violation_kwh,episode_metrics.soc_max_observed,episode_metrics.soc_min_observed,episode_metrics.temperature_max_c,episode_metrics.terminal_flex_backlog_kwh,episode_metrics.terminal_soc_error,episode_metrics.total_cost_cny,episode_metrics.training_reward
23,3864,3726,1863,after_environment_step_before_replay_storage_and_optimizer,17577.566608303016,0.0,113.62814020873884,2060768.2846020502,0.0,209954.63762005983,2600623.1757030105,-3399.2779759416017,0.0,0.0,0.0,12.0,0.0,0.0,0.8869047619047619,149.0,24024.41459609237,0.0,0.0,0.0,0.0,0.15317554473068312,0.0,0.58,0.58,24.0,0.0,0.0,2810577.8133230703,10.178701467183682
24,4032,4062,2031,after_environment_step_before_replay_storage_and_optimizer,19570.186920898745,0.0,113.72558109625606,2121753.1211016704,0.0,218104.3551458685,2679691.327105644,-1453.9845483143076,0.0,0.0,0.0,12.0,0.0,0.0,0.8988095238095238,151.0,24956.959811099143,0.0,0.0,0.0,0.0,0.19529143686308642,0.0,0.58,0.58,26.5,0.0,0.0,2897795.6822515125,0.44638787579616535
25,4200,4398,2199,after_environment_step_before_replay_storage_and_optimizer,19299.02220283561,0.0,128.8106088744753,2160922.1611447223,0.0,221001.58003117482,2728494.320096668,-2417.0780076863048,0.0,0.0,0.0,12.0,0.0,0.0,0.8869047619047619,149.0,25288.479669920616,0.0,0.0,0.0,0.0,0.15003151554565486,0.0,0.58,0.58,24.0,0.0,0.0,2949495.9001278426,4.356753505963007
26,4368,4734,2367,after_environment_step_before_replay_storage_and_optimizer,17368.778864123808,0.0,51.24336418452913,2110066.253015572,0.0,214806.65379244828,2662294.892095905,-1201.7680088831673,0.0,0.0,0.0,12.0,0.0,0.0,0.875,147.0,24579.614754915954,0.0,0.0,0.0,0.0,0.1273204305480521,0.0,0.58,0.58,24.0,0.0,0.0,2877101.545888353,2.9342381933440893
27,4536,5070,2535,after_environment_step_before_replay_storage_and_optimizer,19198.19046951749,0.0,96.00186307440526,2152191.491517859,0.0,220407.28411640757,2717873.943806016,-2099.74071748258,0.0,0.0,0.0,12.0,0.0,0.0,0.875,147.0,25220.476354485545,0.0,0.0,0.0,0.0,0.130347552715996,0.0,0.58,0.58,24.0,0.0,0.0,2938281.2279224233,4.738591802948578
28,4704,5406,2703,after_environment_step_before_replay_storage_and_optimizer,16463.92277554818,0.0,121.11696273434609,2069384.97346506,0.0,210776.56645305193,2612534.986880654,-3631.0332384289004,0.0,0.0,0.0,12.0,0.0,0.0,0.7738095238095238,130.0,24118.465193288604,0.0,0.0,0.0,0.0,0.16875464497881817,0.0,0.58,0.58,30.700000762939453,0.0,0.0,2823311.5533337058,10.888148428083735
29,4872,5742,2871,after_environment_step_before_replay_storage_and_optimizer,21188.227268712242,0.0,123.15834235516195,2106583.2862041867,0.0,213571.6561321491,2657842.7017057296,-3660.7161077143724,0.0,0.0,0.0,12.0,0.0,0.0,0.9107142857142857,153.0,24438.298058354467,0.0,1.0,0.005952380952380952,0.0,0.19108412519051554,0.0,0.58,0.58,24.0,0.0,0.0,2871414.3578378786,10.914079997262137
30,5040,6078,3039,after_environment_step_before_replay_storage_and_optimizer,13961.942630005045,0.0,142.8183985584692,2068163.3726193313,0.0,211692.97727888377,2610900.8782484927,-2377.691411347001,0.0,0.0,0.0,12.0,0.0,0.0,0.7321428571428571,123.0,24223.327052353477,0.0,0.0,0.0,0.0,0.16549348395960106,0.0,0.58,0.58,25.5,0.0,0.0,2822593.8555273763,3.319353143226851
31,5208,6414,3207,after_environment_step_before_replay_storage_and_optimizer,19840.747210943566,0.0,176.88049435162975,2136321.6749021555,0.0,220188.80622176832,2695448.6062650653,-3686.270661050752,0.0,0.0,0.0,12.0,0.0,0.0,0.9047619047619048,152.0,25195.476651785986,0.0,0.0,0.0,0.0,0.22010106804796248,0.0,0.58,0.58,32.0,0.0,0.0,2915637.4124868335,7.818523644155969
32,5376,6750,3375,after_environment_step_before_replay_storage_and_optimizer,17081.671041755417,0.0,173.7752166508053,2060093.325769815,0.0,209689.0598608071,2599854.015253755,-3822.086657586402,0.0,0.0,0.0,12.0,0.0,0.0,0.8392857142857143,141.0,23994.025411704195,0.0,0.0,0.0,0.0,0.19909550143852067,0.0,0.58,0.58,27.899999618530273,0.0,0.0,2809543.0751145617,8.683920288883693
33,5544,7086,3543,after_environment_step_before_replay_storage_and_optimizer,17835.106497995752,0.0,167.35273064209287,2069124.7286126215,0.0,209690.13618008912,2610848.3616234073,-3753.2996556190033,0.0,0.0,0.0,12.0,0.0,0.0,0.8214285714285714,138.0,23994.14857135888,0.0,1.0,0.005952380952380952,0.0,0.19599347705845444,0.0,0.58,0.58,27.799999237060547,0.0,0.0,2820538.4978034967,8.725334439569455
34,5712,7422,3711,after_environment_step_before_replay_storage_and_optimizer,17684.938993067914,0.0,184.05021055037105,2132721.677159599,0.0,216624.70622913778,2690890.277098857,-4510.973517829332,0.0,0.0,0.0,12.0,0.0,0.0,0.7559523809523809,127.0,24787.64848063677,0.0,0.0,0.0,0.0,0.29822568784538084,0.0,0.58,0.58,32.0,0.0,0.0,2907514.9833279946,11.511854956124402
35,5880,7758,3879,after_environment_step_before_replay_storage_and_optimizer,11940.590229650032,0.0,123.88231311630807,2055337.4871556482,0.0,211682.17785978594,2594229.1192312925,-2288.7108426397904,0.0,0.0,0.0,12.0,0.0,0.0,0.625,105.0,24222.091310553515,0.0,1.0,0.005952380952380952,0.0,0.14184260762032258,0.0,0.58,0.58,32.0,0.0,0.0,2805911.2970910785,4.0106154262204665
36,6048,8094,4047,after_environment_step_before_replay_storage_and_optimizer,17600.07550419673,0.0,162.77073082235438,2147597.5260851225,0.0,223210.7679131407,2709438.666101665,-3217.3088602024427,0.0,0.0,0.0,12.0,0.0,0.0,0.75,126.0,25541.269730662487,0.0,0.0,0.0,0.0,0.26094000663577926,0.0,0.58,0.58,24.0,0.0,0.0,2932649.4340148056,6.320300451670941
37,6216,8430,4215,after_environment_step_before_replay_storage_and_optimizer,17643.77781065826,0.0,169.06280325719672,2096540.2580262176,0.0,213847.16109610247,2646151.711320491,-4696.944205926553,0.0,0.0,0.0,12.0,0.0,0.0,0.8154761904761905,137.0,24469.82317993466,0.0,0.0,0.0,0.0,0.226153943814991,0.0,0.58,0.58,24.0,0.0,0.0,2859998.8724165936,13.340952834200968
38,6384,8766,4383,after_environment_step_before_replay_storage_and_optimizer,15388.527126421071,0.0,110.76703426786116,2080359.9434809329,0.0,212600.79175763956,2624990.144691132,-3569.110645071066,0.0,0.0,0.0,12.0,0.0,0.0,0.8333333333333334,140.0,24327.205259861483,0.0,0.0,0.0,0.0,0.1629848826836839,0.0,0.58,0.58,29.299999237060547,0.0,0.0,2837590.9364487715,11.199531169283658
39,6552,9102,4551,after_environment_step_before_replay_storage_and_optimizer,18289.30482094633,0.0,193.89420474430153,2150406.2118355683,0.0,218752.33693531452,2714348.837431185,-4879.797643399096,0.0,0.0,0.0,12.0,0.0,0.0,0.8333333333333334,140.0,25031.106223566298,0.0,1.0,0.005952380952380952,0.0,0.2930588692264899,0.0,0.58,0.58,24.0,0.0,0.0,2933101.1743664993,12.765335932337397
40,6720,9438,4719,after_environment_step_before_replay_storage_and_optimizer,15320.800944438879,0.0,96.74242022884937,2081752.0006504094,0.0,212772.5539794723,2628394.3354693134,-3971.633398236664,0.0,0.0,0.0,12.0,0.0,0.0,0.8273809523809523,139.0,24346.85944266988,0.0,0.0,0.0,0.0,0.16852250417264064,0.0,0.58,0.58,24.0,0.0,0.0,2841166.8894487857,14.053621777452356
41,6888,9774,4887,after_environment_step_before_replay_storage_and_optimizer,19963.957924834864,0.0,195.9554171896434,2176524.1766347056,0.0,220991.31275079423,2748244.127661733,-4220.019454729803,0.0,0.0,0.0,12.0,0.0,0.0,0.8630952380952381,145.0,25287.304818993605,0.0,1.0,0.005952380952380952,0.0,0.3396210075295244,0.0,0.58,0.58,24.0,0.0,0.0,2969235.440412527,9.342772242270406
42,7056,10110,5055,after_environment_step_before_replay_storage_and_optimizer,18512.398139089477,0.0,174.24312956904578,2213907.4914630842,0.0,228386.27887577002,2792973.620380452,-2568.7031374704584,0.0,0.0,0.0,12.0,0.0,0.0,0.7916666666666666,133.0,26133.486328125,0.0,1.0,0.005952380952380952,0.0,0.2948980383751611,0.0,0.58,0.58,30.5,0.0,0.0,3021359.899256222,2.388927913209545
43,7224,10446,5223,after_environment_step_before_replay_storage_and_optimizer,18588.59024085237,0.0,113.59343972770876,2246260.2051805547,0.0,230357.79274615945,2834790.974837632,-2907.911199250554,0.0,0.0,0.0,12.0,0.0,0.0,0.7738095238095238,130.0,26359.080138012137,0.0,0.0,0.0,0.0,0.2424114233654375,0.0,0.58,0.58,32.0,0.0,0.0,3065148.767583791,7.723949612590254
44,7392,10782,5391,after_environment_step_before_replay_storage_and_optimizer,15614.361744751273,0.0,125.97843633070624,2099355.7350349748,0.0,219464.63996109838,2649978.151513726,-4295.060898888771,0.0,0.0,0.0,12.0,0.0,0.0,0.8630952380952381,145.0,25112.61270231553,0.0,0.0,0.0,0.0,0.1637456554313678,0.0,0.58,0.58,24.0,0.0,0.0,2869442.7914748243,13.91659831460148
